Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C9",0603,8,1u 25v x5r/x7r,
"C10, C8",0603,2,4.7u 25v x5r/x7r,
"C11, C17, C24",0603,3,4.7uF,
"C12, C20, C21, C23",0603,4,100nf,
C14,25F 3.8V cap,1,25F,
"C18, C22",0603,2,10nf,
C19,0603,1,1uf,
"D1, D2, D3",D_SOD-123,3,MBR0530,
D4,0805,1,LED,
J1,AMPHENOL_F33Z-1A7Q1-E8C24,1,Conn_01x24_MountingPin,
J2,CONN9_MSD-4-A_SSD,1,Micro_SD_Card,
J4,4_p_SWD_prog,1,Programming pads,
L1,1008,1,4.7u 500mA,
L3,IND_ASPI-0315FS-220M-T2,1,22uh,
Q1,SOT-323_SC-70,1,Si1308EDL,
Q2,SOT-23,1,PMOS,
R1,0603,1,1M,
"R12, R6, R7",0603,3,150k,
R13,0603,1,4.75M,
R14,0603,1,5.49M,
R15,0603,1,8M,
R16,0603,1,12M,
R17,0603,1,5.1M,
R18,0603,1,4.75,
"R2, R3",0603,2,2.2M,
"R4, R8",0603,2,220,
R5,0603,1,20k,
SC1,25F 3.8V cap,1,Solar_Cell,
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,BCK,
SW3,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,FWD,
SW4,SW_SLW-864574-5A-RA-N-D,1,SW_SPST,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32U073K8Ux,
U4,VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm,1,BQ25504,
