Designator,Mid X,Mid Y,Rotation,Layer
C1,138.39117,-119.05,0.0,top
C10,138.445,-117.58,0.0,top
C11,129.75,-129.58,180.0,top
C12,126.5,-116.394998,90.0,top
C14,122.43,-106.499998,90.0,top
C17,120.5,-125.0,120.0,top
C18,124.983366,-116.627355,90.0,top
C19,122.230002,-114.695002,90.0,top
C2,138.41,-115.94,0.0,top
C20,121.75,-124.25,120.0,top
C21,128.761432,-118.089903,310.0,top
C22,137.025,-127.51,0.0,top
C23,129.74,-126.6,180.0,top
C24,129.76,-128.08,180.0,top
C3,133.5,-119.94,0.0,top
C4,131.25,-119.774998,90.0,top
C5,125.274996,-111.749997,0.0,top
C6,139.389999,-124.064996,270.0,top
C7,129.159998,-114.8,90.0,top
C8,130.689998,-114.815002,270.0,top
C9,138.4,-114.45,0.0,top
D1,137.65,-121.0,0.0,top
D2,125.599999,-113.749997,180.0,top
D3,137.629999,-112.53,180.0,top
D4,113.290001,-124.5125,90.0,top
J1,143.79,-116.7,90.0,top
J2,112.496854,-112.220005,270.0,top
J4,118.0,-106.89,180.0,bottom
L1,134.915,-117.79,0.0,top
L3,141.0,-128.18,180.0,top
Q1,135.0775,-114.96,0.0,top
Q2,119.75,-128.75,180.0,top
R1,133.715001,-112.980002,180.0,top
R12,117.5,-125.0,180.0,top
R13,136.400003,-125.3,270.0,top
R14,137.900005,-125.28,90.0,top
R15,136.0,-128.98,180.0,top
R16,133.02,-129.37,180.0,top
R17,135.62,-123.06,180.0,top
R18,132.62,-123.590001,180.0,top
R2,132.200001,-116.344999,90.0,top
R3,124.825,-125.28,180.0,top
R4,116.75,-123.09,180.0,top
R5,121.500001,-117.774999,270.0,top
R6,127.180003,-128.31,270.0,top
R7,124.689999,-128.034999,270.0,top
R8,116.5,-127.25,270.0,top
SC1,144.995001,-128.025546,120.0,top
SW1,119.874999,-128.500001,0.0,bottom
SW3,133.375001,-128.5,180.0,bottom
SW4,109.659999,-125.739999,270.0,top
U1,125.36,-121.2375,0.0,top
U4,133.382499,-126.502499,90.0,top
